dataset_name,test_name,spearman_corr_iso,p_value_iso,spearman_corr_lof,p_value_lof
mnist,ShaRP-GT,-0.5515151515151515,0.09840117666963498,-0.4666666666666666,0.17393859716506632
mnist,ShaRP-KMeans,-0.29696969696969694,0.4047016712701569,0.04242424242424241,0.907363817812816
mnist,ShaRP-AG,-0.3696969696969697,0.2930500752928223,-0.22424242424242422,0.5334005612725947
mnist,ShaRP-GT-SQ,-0.23636363636363633,0.5108853175152002,-0.24848484848484845,0.48877630451924314
mnist,ShaRP-KMeans-SQ,0.19999999999999998,0.5795840000000001,0.49090909090909085,0.14965567342083677
mnist,ShaRP-AG-SQ,0.06666666666666665,0.8548130882487426,0.0303030303030303,0.9337729580941466
mnist,SSNP-GT,0.6969696969696969,0.02509667588225183,0.6848484848484848,0.02888279750673276
mnist,TSNE,-0.01818181818181818,0.9602404181286243,0.22424242424242422,0.5334005612725947
mnist,UMAP,-0.33333333333333326,0.34659350708733405,0.12727272727272726,0.7260570147627894
mnist,AE,-0.6,0.06668799999999996,-0.7333333333333332,0.01580059625057158
fashionmnist,ShaRP-GT,0.6848484848484848,0.02888279750673276,0.4545454545454545,0.186904810349332
fashionmnist,ShaRP-KMeans,0.8787878787878788,0.0008138621117322101,0.5757575757575757,0.08155281477260236
fashionmnist,ShaRP-AG,0.6969696969696969,0.02509667588225183,0.709090909090909,0.021665923367532435
fashionmnist,ShaRP-GT-SQ,-0.24848484848484845,0.48877630451924314,-0.4424242424242424,0.20042268671194224
fashionmnist,ShaRP-KMeans-SQ,0.8181818181818182,0.0038149200825507135,0.49090909090909085,0.14965567342083677
fashionmnist,ShaRP-AG-SQ,0.7333333333333332,0.01580059625057158,0.43030303030303024,0.21449233253280775
fashionmnist,SSNP-GT,-0.32121212121212117,0.3654683104386702,-0.29696969696969694,0.4047016712701569
fashionmnist,TSNE,0.8181818181818182,0.0038149200825507135,0.6,0.06668799999999996
fashionmnist,UMAP,0.8303030303030302,0.0029402270232795065,0.4787878787878787,0.1615229280174558
fashionmnist,AE,-0.7818181818181817,0.007547007781067878,-0.7575757575757575,0.011143446799694208
har,ShaRP-GT,-0.7142857142857143,0.1107871720116617,-0.7714285714285715,0.07239650145772594
har,ShaRP-KMeans,0.028571428571428574,0.9571545189504373,0.08571428571428573,0.8717434402332361
har,ShaRP-AG,-1.0,0.0,-0.5428571428571429,0.26570262390670557
har,ShaRP-GT-SQ,-0.2,0.704,-0.028571428571428574,0.9571545189504373
har,ShaRP-KMeans-SQ,0.2571428571428572,0.6227871720116618,0.8285714285714287,0.04156268221574334
har,ShaRP-AG-SQ,0.14285714285714288,0.7871720116618075,-0.2,0.704
har,SSNP-GT,-0.5428571428571429,0.26570262390670557,-0.5428571428571429,0.26570262390670557
har,TSNE,-0.3142857142857143,0.5440932944606414,0.3142857142857143,0.5440932944606414
har,UMAP,-0.028571428571428574,0.9571545189504373,0.48571428571428577,0.3287230320699709
har,AE,-0.6,0.20799999999999982,-0.2571428571428572,0.6227871720116618
reuters,ShaRP-GT,-0.48571428571428577,0.3287230320699709,-0.48571428571428577,0.3287230320699709
reuters,ShaRP-KMeans,-0.8285714285714287,0.04156268221574334,-0.8285714285714287,0.04156268221574334
reuters,ShaRP-AG,-0.08571428571428573,0.8717434402332361,-0.48571428571428577,0.3287230320699709
reuters,ShaRP-GT-SQ,-0.48571428571428577,0.3287230320699709,-0.7142857142857143,0.1107871720116617
reuters,ShaRP-KMeans-SQ,-0.4285714285714286,0.3965014577259474,-0.7714285714285715,0.07239650145772594
reuters,ShaRP-AG-SQ,-0.08571428571428573,0.8717434402332361,-0.4285714285714286,0.3965014577259474
reuters,SSNP-GT,-0.6,0.20799999999999982,-0.8285714285714287,0.04156268221574334
reuters,TSNE,-0.6,0.20799999999999982,-0.8285714285714287,0.04156268221574334
reuters,UMAP,-0.2571428571428572,0.6227871720116618,-0.6571428571428573,0.15617492711370237
reuters,AE,-0.2571428571428572,0.6227871720116618,-0.08571428571428573,0.8717434402332361
