dataset_name,test_name,type,mse
mnist,SSNP-VAE,train,0.053953942
mnist,SSNP-KMeans,train,0.0471909
mnist,AE,train,0.04233554
mnist,SSNP-VAE,test,0.053984344
mnist,SSNP-KMeans,test,0.0476715
mnist,AE,test,0.11189648
fashionmnist,SSNP-VAE,train,0.04979004
fashionmnist,SSNP-KMeans,train,0.03157721
fashionmnist,AE,train,0.029064354
fashionmnist,SSNP-VAE,test,0.048714943
fashionmnist,SSNP-KMeans,test,0.033330582
fashionmnist,AE,test,0.20637283
har,SSNP-VAE,train,0.009018781
har,SSNP-KMeans,train,0.00721156
har,AE,train,0.006614667
har,SSNP-VAE,test,0.009240872
har,SSNP-KMeans,test,0.007421224
har,AE,test,0.13192388
reuters,SSNP-VAE,train,0.0013659644
reuters,SSNP-KMeans,train,0.0012970545
reuters,AE,train,0.0012960823
reuters,SSNP-VAE,test,0.001354898
reuters,SSNP-KMeans,test,0.0012909003
reuters,AE,test,0.0015478332
