dataset_name,epoch,T,C,R,S,N,DSC,CC,MSE
har,0,0.6683949775219769,0.5593071786501733,0.23346065694419926,0.8100449609873258,0.5202,0.2376,0.942857142857143,-99.0
har,1,0.7345753514875584,0.7151329496320477,0.6371156723627285,0.7578097868470889,0.5606666666666666,0.3684,-0.14285714285714288,-99.0
har,2,0.7761061649915528,0.715570174383644,0.5509808824288059,0.8005607910864795,0.6284,0.4594,0.028571428571428574,-99.0
har,3,0.8267226297855281,0.8307739312201128,0.6105570765688445,0.7523913576962488,0.7481333333333333,0.664,0.7142857142857143,-99.0
har,4,0.8146935257566646,0.8405276694442059,0.6335497798160193,0.7475529691185775,0.7705333333333334,0.6954,0.08571428571428573,-99.0
har,5,0.8167907281734101,0.8489320848724337,0.6424696535374704,0.759179185253642,0.7985333333333334,0.738,-0.028571428571428574,-99.0
har,6,0.8280690891389628,0.8829605875783867,0.6126297535487352,0.7485953286348416,0.8533333333333332,0.8052,0.3714285714285715,-99.0
har,7,0.8122460727887066,0.8575628038828279,0.5821063738553951,0.7561700890720376,0.8358,0.7924,0.3142857142857143,-99.0
har,8,0.8277717149156716,0.8689618474930562,0.6820055653142745,0.7463144207350809,0.8496666666666668,0.8172,0.5428571428571429,-99.0
har,9,0.8258923746528076,0.8840637459553876,0.5621031461982882,0.7389141951739515,0.8892666666666666,0.8632,0.5428571428571429,-99.0
har,10,0.8237639664404547,0.881895283910317,0.5556567082656996,0.7637483149069316,0.9146,0.8862,0.3714285714285715,-99.0
fashionmnist,0,0.6209077341580047,0.5995936946997681,0.3137184371331749,0.781877426702092,0.4344666666666666,0.164,0.8303030303030302,-99.0
fashionmnist,1,0.7733854479855682,0.851190894253071,0.4666333470200729,0.8852908545014515,0.597,0.5024,-0.11515151515151514,-99.0
fashionmnist,2,0.8392305013887695,0.919474810296939,0.5407841545145001,0.879160468290241,0.7074666666666666,0.631,0.12727272727272726,-99.0
fashionmnist,3,0.8322266987372219,0.9028184291154826,0.4938341982368919,0.8505213319050171,0.7331333333333333,0.6686,-0.23636363636363633,-99.0
fashionmnist,4,0.849410130859319,0.930205354637345,0.5217853253948185,0.8687107594950741,0.7764,0.704,-0.11515151515151514,-99.0
fashionmnist,5,0.8336424992125533,0.9163558113564126,0.4851733699551035,0.8737315371313077,0.7872666666666666,0.726,-0.01818181818181818,-99.0
fashionmnist,6,0.8169072817341008,0.9107523866792658,0.4473279279962886,0.8789581927194774,0.7895999999999999,0.7302,0.12727272727272726,-99.0
fashionmnist,7,0.8250481516479111,0.9070493142055379,0.48817775257029655,0.8808154963749527,0.7729333333333333,0.7078,0.1515151515151515,-99.0
fashionmnist,8,0.8149482404146264,0.9087488703719612,0.4373168660184646,0.8837280557511239,0.7998666666666666,0.7526,0.10303030303030303,-99.0
fashionmnist,9,0.8159547862440226,0.9049825043667497,0.449631261816305,0.8746850071957987,0.7955333333333333,0.7424,0.09090909090909088,-99.0
fashionmnist,10,0.8200124903358819,0.9124260573261175,0.4320985685936792,0.8767346328254274,0.8012666666666666,0.757,-0.10303030303030303,-99.0
usps,0,0.6770898548234687,0.8298441084671992,0.47443083945212366,0.9015544282293197,0.5436666666666666,0.375,0.7333333333333332,-99.0
usps,1,0.549189204822037,0.5763467628783323,0.08950266875665734,0.7945400799070883,0.44286666666666663,0.2532,-0.32121212121212117,-99.0
usps,2,0.7521044411992097,0.8250487586977064,0.3947905201646069,0.7721290492992846,0.6769333333333334,0.5758,-0.34545454545454546,-99.0
usps,3,0.8000219454227873,0.9121014861266215,0.43541135344077314,0.7473641862210318,0.8263333333333333,0.7922,0.38181818181818183,-99.0
usps,4,0.8023045385562524,0.9176243621681986,0.42516441542200484,0.760682735642944,0.8546666666666668,0.8336,0.5636363636363636,-99.0
usps,5,0.8040584428600063,0.9112321908198036,0.41886527205003116,0.7416065867771295,0.8653333333333332,0.8372,0.4424242424242424,-99.0
usps,6,0.8089287117372506,0.9227530968129886,0.41463774623327254,0.7584615480079159,0.9082,0.8858,0.33333333333333326,-99.0
usps,7,0.8018069982533002,0.9179328580018898,0.3977420510811774,0.7573743092656807,0.9058,0.8762,0.12727272727272726,-99.0
usps,8,0.814206305300232,0.9229475360077886,0.4126539824992981,0.7666753237884335,0.9298,0.898,0.17575757575757575,-99.0
usps,9,0.7968764310053547,0.917647332703376,0.37050912170208333,0.7792615348335861,0.9234,0.8902,-0.01818181818181818,-99.0
usps,10,0.8097629126936403,0.9229912836812416,0.38713307379039597,0.7717583682061654,0.9404666666666668,0.9158,0.3696969696969697,-99.0
reuters,0,0.5199152249234029,0.6071235689946454,0.15290270134158898,0.9767548550479499,0.5875333333333334,0.3626,0.8285714285714287,-99.0
reuters,1,0.5377977206998253,0.6908139163302122,0.1199752246688298,0.6712106137684699,0.6699333333333333,0.5532,-0.6571428571428573,-99.0
reuters,2,0.5438858803653752,0.7143733814391662,0.22312549933581746,0.6723386522826165,0.815,0.7586,-0.6571428571428573,-99.0
reuters,3,0.5440125476047304,0.707562551899894,0.23712191815002456,0.6670331198679221,0.8445333333333332,0.8034,-0.14285714285714288,-99.0
reuters,4,0.548718683961859,0.697136231137073,0.2726530122646975,0.6602318892190318,0.8826,0.8494,-0.3142857142857143,-99.0
reuters,5,0.5500190247115082,0.7163236720785728,0.28406460367957165,0.6726927170868682,0.9053333333333334,0.8828,-0.3142857142857143,-99.0
reuters,6,0.5525253786902614,0.7229667726140365,0.293269305577014,0.6646801866901239,0.9232666666666668,0.8894,-0.48571428571428577,-99.0
reuters,7,0.5503561320619649,0.7181462360049251,0.26987205631192374,0.6620595139097507,0.9310666666666668,0.884,-0.6571428571428573,-99.0
reuters,8,0.5556664261375025,0.7075377716691006,0.29075190818590824,0.6595208683686957,0.9434666666666668,0.9128,-0.7714285714285715,-99.0
reuters,9,0.5521539272112934,0.7001357672593993,0.29966831146817574,0.6656842677748073,0.9485333333333333,0.9138,-0.5428571428571429,-99.0
reuters,10,0.5543145663316439,0.6916300031497866,0.30129889174771135,0.6694003268325474,0.9629333333333332,0.9276,-0.6,-99.0
mnist,0,0.5545454915098932,0.6356424304899351,0.14215011313074358,0.9421534326269375,0.4226666666666667,0.1856,0.16363636363636364,-99.0
mnist,1,0.5265784325516136,0.5449828136185322,0.08943745652129442,0.8739388172464642,0.4106666666666666,0.1554,-0.16363636363636364,-99.0
mnist,2,0.6656347564642213,0.8104531626721645,0.29920976667673405,0.8622573543790624,0.5588666666666666,0.4468,0.5030303030303029,-99.0
mnist,3,0.6920398247573232,0.8517831400509692,0.3269922711262107,0.8495134762776986,0.6656666666666666,0.6076,0.6727272727272726,-99.0
mnist,4,0.727690215617215,0.894921072072846,0.2905961759063491,0.8523729439617131,0.7931333333333332,0.7708,0.17575757575757575,-99.0
mnist,5,0.7246007044068379,0.8902360621939696,0.3185563390379466,0.8469600054758067,0.8235333333333333,0.8094,0.17575757575757575,-99.0
mnist,6,0.7479984422873178,0.913248775878361,0.31509986288197356,0.8543014305306479,0.9021333333333332,0.882,0.09090909090909088,-99.0
mnist,7,0.7375896686997108,0.9023895140738195,0.2868773544794576,0.8557701425416391,0.8989333333333333,0.8822,0.09090909090909088,-99.0
mnist,8,0.7427034275405893,0.9134264639349425,0.3234356221496977,0.8503525725109189,0.9368,0.9256,0.07878787878787878,-99.0
mnist,9,0.7419599690748218,0.908187847550325,0.2786914315233629,0.8666649499858012,0.9422666666666666,0.929,0.07878787878787878,-99.0
mnist,10,0.7385761074363599,0.9041478681671105,0.2770561619287845,0.8595353142405772,0.9363333333333332,0.9146,0.23636363636363633,-99.0
