dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
mnist,ShaRP-GT,0.744703232826504,0.9057718294533689,0.14887120172058105,0.8944447311410251,0.9842666666666666,0.9606,0.296969696969697,-99.0
mnist,ShaRP-KMeans,0.8648316582195115,0.9075639378060304,0.3007424806915319,0.8952367932982935,0.7428,0.4972,0.4363636363636364,-99.0
mnist,ShaRP-AG,0.8321290152621481,0.9185998339203391,0.2530035886113915,0.8931381001876932,0.8014,0.7416,0.4,-99.0
mnist,SSNP-GT,0.786973387166051,0.9203081121324056,0.37610592846197216,0.5873240705593008,0.9896666666666668,0.9118,0.8242424242424242,-99.0
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,0.7808,0.4666666666666667,-99.0
mnist,UMAP,0.9572924376485411,0.9739122755776995,0.3851058403838429,0.2359143585699471,0.9176,0.8412,0.32727272727272727,-99.0
mnist,AE,0.9171350857601008,0.9122826389485439,-0.06330877374466684,3.389801878963093,0.7502,0.5024,0.18787878787878792,-99.0
fashionmnist,ShaRP-GT,0.8582368353234258,0.9320191793373994,0.5522766092374475,0.9093554257951214,0.8652,0.828,0.5333333333333333,-99.0
fashionmnist,ShaRP-KMeans,0.9470286458780747,0.9727688801076655,0.7118971565304341,0.8984636703860713,0.721,0.6078,0.903030303030303,-99.0
fashionmnist,ShaRP-AG,0.9344001718065458,0.9716320132863728,0.7122926566325398,0.8884574310106954,0.7349333333333334,0.6338,0.7454545454545454,-99.0
fashionmnist,SSNP-GT,0.8634986799530395,0.9255857686911204,0.35569178254764505,0.5557375607251408,0.9244666666666667,0.8598,0.3878787878787879,-99.0
fashionmnist,TSNE,0.9902396644045471,0.9871910946940412,0.6638282722586024,5.351140120422803,0.8430666666666667,0.656,0.8848484848484848,-99.0
fashionmnist,UMAP,0.9810097929731123,0.9880534776508318,0.6421534079655413,0.1746428900460266,0.8035333333333333,0.6652,0.8848484848484848,-99.0
fashionmnist,AE,0.966556784926839,0.9777755633822982,0.5453384622275553,0.22572338751558974,0.7404666666666667,0.6344,0.1575757575757576,-99.0
har,ShaRP-GT,0.8514103370271741,0.9202426595653295,0.6706998964900619,0.8072873613430118,0.9426666666666667,0.929,0.6857142857142857,-99.0
har,ShaRP-KMeans,0.9113039658677662,0.9378958737794577,0.6652492128928693,0.8048234159359249,0.7828666666666666,0.6736,0.42857142857142855,-99.0
har,ShaRP-AG,0.8965522721415686,0.9385596025541907,0.6222976898781876,0.8188929677922051,0.8230666666666666,0.7554,0.5714285714285714,-99.0
har,SSNP-GT,0.8876433353377431,0.9428166881424849,0.6526241563695454,0.4035633295204948,0.9911333333333332,0.9758,0.08571428571428563,-99.0
har,TSNE,0.9920476190476191,0.9853938149643502,0.5781148406588574,48.56045339176635,0.9685333333333334,0.813,0.2857142857142857,-99.0
har,UMAP,0.9788276952151878,0.9886164304326661,0.769535695830672,3.6087367141093534,0.9346,0.7326,0.4857142857142857,-99.0
har,AE,0.9440044326088824,0.9737739713083069,0.8333692080742041,0.38187546775193526,0.815,0.6678,0.2,-99.0
reuters,ShaRP-GT,0.5568837728717464,0.7385281848638433,0.3216905946871491,0.7638475364352466,0.9753333333333334,0.9432,0.2857142857142857,-99.0
reuters,ShaRP-KMeans,0.5849570655441972,0.7645959396386336,0.07374879944851677,0.7680685159456263,0.7096666666666666,0.5676,0.11428571428571427,-99.0
reuters,ShaRP-AG,0.5832930618789909,0.7497092575093778,0.173524778722147,0.775172177726801,0.7364,0.6034,0.5142857142857142,-99.0
reuters,SSNP-GT,0.580820101365862,0.7600363084500186,0.3418135010832196,0.4655290413212092,0.9783333333333334,0.965,0.45714285714285713,-99.0
reuters,TSNE,0.7422299229733986,0.9118259599690748,0.020951228154071407,30.81581100696694,0.8458,0.5802,0.2,-99.0
reuters,UMAP,0.662221836611975,0.8623307676889156,-0.10722471517337112,2.045088984390642,0.7588666666666666,0.5172,0.5142857142857142,-99.0
reuters,AE,0.6376493142055379,0.771862697935458,0.1669584800403108,2.5840954067922834,0.8113333333333334,0.6954,0.37142857142857144,-99.0
usps,ShaRP-GT,0.8338314520516565,0.9339516937261976,0.3208346109646493,0.8403217397020117,0.9854666666666666,0.9572,0.4545454545454546,-99.0
usps,ShaRP-KMeans,0.9110393379721101,0.9551417690347336,0.5595141103882387,0.8246881756751503,0.844,0.7258,0.8242424242424242,-99.0
usps,ShaRP-AG,0.8867730721873837,0.9535462016436159,0.5134092380133791,0.8272859239155718,0.8494666666666666,0.6772,0.8606060606060606,-99.0
usps,SSNP-GT,0.8649326575609197,0.9519928929358875,0.52870306991122,0.5524530837014293,0.9858666666666668,0.9128,0.793939393939394,-99.0
usps,TSNE,0.9893159465108954,0.9833835752942187,0.5078945554961387,36.068401152713264,0.9689333333333332,0.9412,0.7515151515151515,-99.0
usps,UMAP,0.9717745783581021,0.9848029951607823,0.42985046832801194,0.8827286499428847,0.9576666666666668,0.9502,0.6303030303030304,-99.0
usps,AE,0.9298305185694241,0.9572119691893595,0.2090315314830427,1.3137325160809414,0.8412,0.6272,0.296969696969697,-99.0
