dataset_name,power,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,2,0.7283123443003179,0.8962712710820949,0.23288845914267006,0.8806139163105421,0.9776666666666666,-99.0
mnist,3,0.7315619563038684,0.8960711966325917,0.2374665420044756,0.876633813838587,0.9789333333333332,-99.0
mnist,10,0.7318306388340062,0.8832790195573118,0.17493205087685867,0.8759174473479052,0.9856666666666666,-99.0
mnist,15,0.7328582825072302,0.898786570455001,0.18995202751240167,0.8690958946512013,0.9786666666666666,-99.0
mnist,30,0.7386097185236091,0.9014456489992269,0.3125572425846344,0.9165334155094154,0.9552,-99.0
mnist,100,0.5858311771611832,0.5024555965982305,,,,-99.0
fashionmnist,2,0.7899076482547318,0.8918918706869399,0.35862861759057596,0.8952516825059341,0.906,-99.0
fashionmnist,3,0.7991358531626722,0.8992618274489591,0.46322737741158077,0.8930859885076261,0.895,-99.0
fashionmnist,10,0.801055945938207,0.9087965867766229,0.4355386158788935,0.8807340507805316,0.9092666666666666,-99.0
fashionmnist,15,0.8080139564184062,0.9048209031297426,0.4574852796649844,0.8874991383023548,0.8715333333333332,-99.0
fashionmnist,30,0.4844914297168056,0.501738785327721,,,,-99.0
fashionmnist,100,0.4844914297168056,0.501738785327721,,,,-99.0
har,2,0.8126059616871403,0.8759599690748218,0.4940966363083204,0.7899852081357185,0.9684666666666668,-99.0
har,3,0.8201685135870344,0.8775947541734673,0.5248292909993715,0.7841391579482945,0.9852,-99.0
har,10,0.8222640838415943,0.7995643730492799,0.6009717438415632,0.7835860487875017,0.9755333333333334,-99.0
har,15,0.8289124760186697,0.8174568507860149,0.6554413165511308,0.7747523002790153,0.9428666666666666,-99.0
har,30,0.4552481287403717,0.5016251582051943,,,,-99.0
har,100,0.4552481287403717,0.5016251582051943,,,,-99.0
reuters,2,0.5523219253786902,0.6904023766572174,0.2929223954091344,0.7133668170727654,0.966,-99.0
reuters,3,0.5523932594565186,0.6916271282535864,0.27684696229039,0.7205521218479822,0.9708666666666668,-99.0
reuters,10,0.5550097013429545,0.6953812788133895,0.32522247512140356,0.7286075565665364,0.9794,-99.0
reuters,15,0.5554035277610744,0.6872748675657876,0.20590217120312268,0.7044454006126251,0.9766,-99.0
reuters,30,0.5574951922801592,0.7134961200355067,0.3111192484659331,0.7019989441487146,0.9697333333333332,-99.0
reuters,100,0.4448115282192252,0.5077875612060819,,,,-99.0
usps,2,0.796599914096727,0.9186364287146007,0.31886134489067547,0.8022789264802631,0.9804,-99.0
usps,3,0.7952429859977665,0.9115371875268448,0.310364329612097,0.8020090187714567,0.9856,-99.0
usps,10,0.8030431406236578,0.9165718179995991,0.24386920268228954,0.7947061877596385,0.9899333333333334,-99.0
usps,15,0.8142549723677805,0.9226547261117315,0.32368807348936907,0.7875811154445234,0.9744666666666666,-99.0
usps,30,0.7487672593992498,0.8629564241330928,0.4648535751153886,0.9060392949398686,0.6436,-99.0
usps,100,0.506740188414512,0.5014372190247115,,,,-99.0
